Nome Urna	Partido
ABIAS DE SOUSA SILVA	PT
ADALBERTO IMBRÓSIO	PRP
ADRIANA FARIA	REDE
AGENTE D'SOUSA	AVANTE
ALEXANDRE LIRA LGBTI	AVANTE
ALEXANDRE P/ O SERVIÇO SOCIAL	PC do B
AMARAL	DC
AMERICA BONFIM	PT
ANA ELIZA	AVANTE
ANA PRESTES	PC do B
ANDREIA GOMES DOS ANIMAIS	AVANTE
ANDRÉIA MOURA	PSDB
ANGELO BALBINO	PSOL
ANGELO DONGA	REDE
ANJULI	PSOL
ANTONIO CARDOSO	PSOL
ARAJÚ SEPETI GUARANI	PPS
ASSIS MARINHO	NOVO
AUGUSTO CARVALHO	SOLIDARIEDADE
BELLE BORGES	NOVO
BIA KICIS	PRP
BISPA CONSOLAÇÃO	PHS
CAMPANELLA	PPL
CAMPANELLA	PPL
CAPITÃO ROBERTO BOMBEIRO	PRTB
CARLÃO	DC
CARLOS AROUCK	PRP
CELINA LEÃO	PP
CHRISTIANE TABOSA	PRTB
CIRO FREITAS	PMN
CLAUDINHA DA SAÚDE	PSDB
COMANDANTE ABOUD	PSL
CORONEL CHARLES MAGALHAES	PROS
CORONEL WELLINGTON	DEM
CRISTINA ROBERTO	PT
DANIEL PXEIRA	PT
DEFENSOR KLEBER	AVANTE
DELEGADO FEDERAL LEIRO	PPS
DENISE	DC
DERSON MAIA	PDT
DIEGO MAIA	NOVO
DINAIR BARROS	PPL
DRA. FÁTIMA	PROS
DRA. RAQUEL COSTA RIBEIRO	PR
DR. CHARLES	PHS
DUDA RODRIGUES	PSDB
EDIMAR PIRENEUS	MDB
EDISON CEILANDIA	PSOL
EDUARDO CUSTO ZERO	PPS
EDU ATILA	PPL
ELCIMARA	PSTU
ELISA ROBSON	PRP
ERICK ANDRADE	PSOL
ERIKA KOKAY	PT
ESTÉFANE CABEÇA BRANCA	PDT
ETIENO - O AGENTE DA SAUDE	PPL
EVELIN MACIEL	PSOL
EXPEDITO VELOSO	PT
FELLIPE PASSOS	DC
FERNANDO HORTA	PT
FILIPPELLI	MDB
FLAUZINO ANTUNES	PPL
FLAVIA ARRUDA	PR
FLAVIO CORREIA	PTB
FLAVIO PIKANA	DC
FLÁVIO WERNECK	PHS
FRANCIMAR	PSC
FRANCISCA ROCHA	PPL
FRANCISCO LUCIO	PR
FRANCISCO WELLINGTON	PRP
GEORGIOS	PTC
GESSYCA	PT
GILDETE	DC
GILSON FERREIRA	DC
GISELIA	NOVO
GIULIANE DIAS DA CEILÂNDIA	AVANTE
HÉLIO JOSÉ	PROS
HELÔ PIRES	PSOL
INOCÊNCIO CALTAGIRONI	PSOL
ISAAC SILVA	PPL
ISANIL	AVANTE
ISANIL	PMN
ITAMAR	PSOL
JACÓ	PSOL
JAMIL MAGARI PCB	PCB
JANETE ALMEIDA	PRP
JEFERSON MAXIMINO	PPL
JOÃO DE MARTINS	PRP
JOÃO SÁ SÁ	PMN
JOAO SEM TERRA	PPL
JOÃO TERRA	DC
JOAQUIM RODRIGUES	PT
JOAQUIM RORIZ	PROS
JOSE LOPES	PSC
JOSE NOGUEIRA	PMB
JOSIVALDO FEITOSA	DC
JULIO CESAR	PRB
JUNIOR XUKURU	PSOL
JURACI TESOURA DE OURO	PTB
JUSCELIA	DC
JUSTINO CARVALHO	PR
KAMUU DAN	REDE
KÁTIA TAVARES	PRB
KENGY	PCO
LAERTE BESSA	PR
LEANDRO NARDY	PSDB
LEOCLIDES ARRUDA	REDE
LÉO MATOS	PDT
LIA AIRES	PCO
LINEUDA DA SUSTENTABILIDADE	PROS
LOURIVAL AZEVEDO	PMN
LUGON	PRTB
LUIS MIRANDA	DEM
LURI SAEKI	PTC
MAGELLINHA	PT
MAICON CARVALHO	DC
MAJOR EMILIO	PRP
MAJOR PAULO THIAGO	PRTB
MANINHA	PSOL
MARCELO TIGRE	PSDB
MARCOS DANTAS	PSB
MARIA ABADIA	PSB
MAURÍLIO DF	REDE
MAURO ROGERIO	PTB
MEIRE MOTA	MDB
MIGUEL LUCENA	PTB
MIRA DA SAÚDE	PSC
MIRIAM STEIN	PRTB
NAIARA LOURENÇO	PTC
NATHAN BELCAVELLO	PSOL
NEVITON SANGUE BOM	PROS
NEWTON LINS	PSL
NILSON PIRES	DC
NIRCEU WERNECK	PCO
OLAIR	PP
OSCAR SILVA	PRP
OSNI CALIXTO	PT
PASTORA FATIMA ROQUE	PMN
PASTOR MANOEL	PROS
PATRÍCIA RODRIGUEZ	PSC
PAULA BELMONTE	PPS
PAULO FERNANDO	PATRI
PAULO RORIZ	PSDB
PROFESSORA CLEMENTINA	PRB
PROFESSOR GADELHA	PDT
PROFESSOR GERARDO	PTC
PROFESSOR ISRAEL	PV
PROFESSOR MANOEL FILHO	PC do B
PROFESSOR PACCO	PODE
PROFESSOR VIRGILIO	DC
RAYSSA TOMAZ	PV
REBECA GOMES	PT
RENATO SANTANA	PSD
RICARDO MACHADO	PCO
RICK MARANTZ	PPL
RODGER DO GRUPO DE EMPREGOS	DC
RODRIGO FREIRE	NOVO
ROGÉRIO DA VEIGA	PSOL
ROMUALDO JOW	PSDB
SABINO	PT
SAMIA WALESKA	PTC
SARGENTO ELIOMAR RODRIGUES	PTC
SARGENTO EVERALDO	AVANTE
SARGENTO HERLAN	PSDB
SENIRA RAMALHO	PRB
SEU GABINETE	PSDB
SGT ADRIANO OLIVEIRA	PRP
SIMONE AZEVEDO	PTB
SOCORRO	DC
SOCORRO	PPL
SUZANGELA LEÃO DE JUDÁ	PSC
TALITA VICTOR	PSOL
TANIA PIRES	PROS
TATU	PMB
THAYNARA	REDE
THIAGO MANZONI	NOVO
TIM	PT
TODI MORENO	PTB
VALDIR MIRANDA	PPL
VANESSA É O BICHO	PT
VANESSA GUERRA	PROS
VERA LUCIA	DC
VERONICA GOULART	PPL
VIRNA SMITH	DEM
VIVIANE GOMES	PPL
WALTER CELIO	PT
WILL GODOY	PSL
WILMAN NEPOMUCENO DA SILVA	PSDB
WILSON GREY	PRTB
WILSON NOBRE	PRB
ZÉ EDMAR	PMN
